Data,Anomalia rispetto alla mediana,
2023-01-01,-1.019,0
2023-01-02,-1.037,0
2023-01-03,-1.075,0
2023-01-04,-1.095,0
2023-01-05,-1.124,0
2023-01-06,-1.145,0
2023-01-07,-1.141,0
2023-01-08,-1.091,0
2023-01-09,-1.062,0
2023-01-10,-1.031,0
2023-01-11,-1.012,0
2023-01-12,-1.002,0
2023-01-13,-0.989,0
2023-01-14,-0.993,0
2023-01-15,-0.986,0
2023-01-16,-0.959,0
2023-01-17,-0.937,0
2023-01-18,-0.971,0
2023-01-19,-0.990,0
2023-01-20,-1.020,0
2023-01-21,-1.054,0
2023-01-22,-1.090,0
2023-01-23,-1.099,0
2023-01-24,-1.109,0
2023-01-25,-1.086,0
2023-01-26,-1.079,0
2023-01-27,-1.088,0
2023-01-28,-1.122,0
2023-01-29,-1.154,0
2023-01-30,-1.208,0
2023-01-31,-1.262,0
2023-02-01,-1.284,0
2023-02-02,-1.266,0
2023-02-03,-1.251,0
2023-02-04,-1.218,0
2023-02-05,-1.171,0
2023-02-06,-1.138,0
2023-02-07,-1.111,0
2023-02-08,-1.108,0
2023-02-09,-1.119,0
2023-02-10,-1.145,0
2023-02-11,-1.159,0
2023-02-12,-1.194,0
2023-02-13,-1.194,0
2023-02-14,-1.160,0
2023-02-15,-1.117,0
2023-02-16,-1.077,0
2023-02-17,-1.042,0
2023-02-18,-1.043,0
2023-02-19,-1.078,0
2023-02-20,-1.090,0
2023-02-21,-1.107,0
2023-02-22,-1.119,0
2023-02-23,-1.110,0
2023-02-24,-1.107,0
2023-02-25,-1.128,0
2023-02-26,-1.130,0
2023-02-27,-1.120,0
2023-02-28,-1.112,0
2023-03-01,-1.071,0
2023-03-02,-1.013,0
2023-03-03,-0.967,0
2023-03-04,-0.925,0
2023-03-05,-0.888,0
2023-03-06,-0.882,0
2023-03-07,-0.877,0
2023-03-08,-0.880,0
2023-03-09,-0.896,0
2023-03-10,-0.927,0
2023-03-11,-0.959,0
2023-03-12,-0.999,0
2023-03-13,-1.039,0
2023-03-14,-1.080,0
2023-03-15,-1.103,0
2023-03-16,-1.105,0
2023-03-17,-1.103,0
2023-03-18,-1.093,0
2023-03-19,-1.063,0
2023-03-20,-1.027,0
2023-03-21,-1.017,0
2023-03-22,-1.011,0
2023-03-23,-0.999,0
2023-03-24,-0.972,0
2023-03-25,-0.973,0
2023-03-26,-0.957,0
2023-03-27,-0.943,0
2023-03-28,-0.945,0
2023-03-29,-0.981,0
2023-03-30,-0.994,0
2023-03-31,-1.007,0
2023-04-01,-1.026,0
2023-04-02,-1.037,0
