Data,2023,Media 1981-2010
2023-01-01,12.623,13.642
2023-01-02,12.664,13.701
2023-01-03,12.688,13.763
2023-01-04,12.729,13.824
2023-01-05,12.761,13.885
2023-01-06,12.789,13.934
2023-01-07,12.843,13.984
2023-01-08,12.941,14.032
2023-01-09,13.019,14.081
2023-01-10,13.092,14.123
2023-01-11,13.155,14.167
2023-01-12,13.202,14.204
2023-01-13,13.251,14.240
2023-01-14,13.301,14.294
2023-01-15,13.347,14.333
2023-01-16,13.410,14.369
2023-01-17,13.470,14.407
2023-01-18,13.477,14.448
2023-01-19,13.500,14.490
2023-01-20,13.513,14.533
2023-01-21,13.516,14.570
2023-01-22,13.519,14.609
2023-01-23,13.548,14.647
2023-01-24,13.572,14.681
2023-01-25,13.627,14.713
2023-01-26,13.669,14.748
2023-01-27,13.695,14.783
2023-01-28,13.696,14.818
2023-01-29,13.701,14.855
2023-01-30,13.679,14.887
2023-01-31,13.661,14.923
2023-02-01,13.676,14.960
2023-02-02,13.729,14.995
2023-02-03,13.778,15.029
2023-02-04,13.840,15.058
2023-02-05,13.914,15.085
2023-02-06,13.967,15.105
2023-02-07,14.009,15.120
2023-02-08,14.033,15.141
2023-02-09,14.045,15.164
2023-02-10,14.040,15.185
2023-02-11,14.046,15.205
2023-02-12,14.030,15.224
2023-02-13,14.046,15.240
2023-02-14,14.092,15.252
2023-02-15,14.152,15.269
2023-02-16,14.206,15.283
2023-02-17,14.264,15.306
2023-02-18,14.287,15.330
2023-02-19,14.271,15.349
2023-02-20,14.283,15.373
2023-02-21,14.290,15.397
2023-02-22,14.295,15.414
2023-02-23,14.321,15.431
2023-02-24,14.342,15.449
2023-02-25,14.334,15.462
2023-02-26,14.340,15.470
2023-02-27,14.364,15.484
2023-02-28,14.384,15.496
2023-03-01,14.430,15.501
2023-03-02,14.495,15.508
2023-03-03,14.541,15.508
2023-03-04,14.577,15.502
2023-03-05,14.611,15.499
2023-03-06,14.618,15.500
2023-03-07,14.617,15.494
2023-03-08,14.616,15.496
2023-03-09,14.601,15.497
2023-03-10,14.571,15.498
2023-03-11,14.542,15.501
2023-03-12,14.502,15.501
2023-03-13,14.465,15.504
2023-03-14,14.418,15.498
2023-03-15,14.389,15.492
2023-03-16,14.375,15.480
2023-03-17,14.367,15.470
2023-03-18,14.361,15.454
2023-03-19,14.373,15.436
2023-03-20,14.397,15.424
2023-03-21,14.394,15.411
2023-03-22,14.385,15.396
2023-03-23,14.387,15.386
2023-03-24,14.405,15.377
2023-03-25,14.391,15.364
2023-03-26,14.401,15.358
2023-03-27,14.405,15.348
2023-03-28,14.391,15.336
2023-03-29,14.344,15.325
2023-03-30,14.321,15.315
2023-03-31,14.292,15.299
2023-04-01,14.256,15.282
2023-04-02,14.219,15.257
2023-04-03,14.212,15.226
2023-04-04,14.190,15.193
2023-04-05,14.162,15.154
2023-04-06,14.137,15.123
2023-04-07,14.138,15.093
2023-04-08,14.120,15.058
2023-04-09,14.114,15.026
2023-04-10,14.133,14.990
2023-04-11,14.159,14.949
2023-04-12,14.153,14.907
2023-04-13,14.145,14.864
2023-04-14,14.125,14.823
2023-04-15,14.100,14.782
2023-04-16,14.089,14.743
2023-04-17,14.070,14.711
2023-04-18,14.066,14.670
2023-04-19,14.060,14.631
2023-04-20,14.047,14.593
2023-04-21,14.003,14.558
2023-04-22,13.975,14.523
2023-04-23,13.944,14.489
2023-04-24,13.912,14.455
2023-04-25,13.872,14.415
2023-04-26,13.840,14.371
2023-04-27,13.800,14.328
2023-04-28,13.740,14.284
2023-04-29,NaN,14.237
