Data,Giornaliero,
2023-01-01,25.246,27.374
2023-01-02,25.328,27.552
2023-01-03,25.376,27.664
2023-01-04,25.458,27.714
2023-01-05,25.522,27.758
2023-01-06,25.578,27.862
2023-01-07,25.686,28.018
2023-01-08,25.882,28.210
2023-01-09,26.038,28.368
2023-01-10,26.184,28.458
2023-01-11,26.310,28.504
2023-01-12,26.404,28.558
2023-01-13,26.502,28.598
2023-01-14,26.602,28.700
2023-01-15,26.694,28.744
2023-01-16,26.820,28.790
2023-01-17,26.940,28.854
2023-01-18,26.954,28.932
2023-01-19,27.000,29.026
2023-01-20,27.026,29.162
2023-01-21,27.032,29.264
2023-01-22,27.038,29.310
2023-01-23,27.096,29.318
2023-01-24,27.144,29.348
2023-01-25,27.254,29.408
2023-01-26,27.338,29.460
2023-01-27,27.390,29.488
2023-01-28,27.392,29.548
2023-01-29,27.402,29.636
2023-01-30,27.358,29.728
2023-01-31,27.322,29.824
2023-02-01,27.352,29.896
2023-02-02,27.458,29.964
2023-02-03,27.556,30.046
2023-02-04,27.680,30.164
2023-02-05,27.828,30.296
2023-02-06,27.934,30.344
2023-02-07,28.018,30.356
2023-02-08,28.066,30.392
2023-02-09,28.090,30.424
2023-02-10,28.080,30.432
2023-02-11,28.092,30.482
2023-02-12,28.060,30.528
2023-02-13,28.092,30.568
2023-02-14,28.184,30.606
2023-02-15,28.304,30.656
2023-02-16,28.412,30.714
2023-02-17,28.528,30.772
2023-02-18,28.574,30.802
2023-02-19,28.542,30.830
2023-02-20,28.566,30.872
2023-02-21,28.580,30.898
2023-02-22,28.590,30.928
2023-02-23,28.642,30.972
2023-02-24,28.684,30.972
2023-02-25,28.668,30.982
2023-02-26,28.680,30.972
2023-02-27,28.728,31.012
2023-02-28,28.768,31.064
2023-03-01,28.860,31.072
2023-03-02,28.990,31.080
2023-03-03,29.082,31.052
2023-03-04,29.154,31.012
2023-03-05,29.222,30.914
2023-03-06,29.236,30.926
2023-03-07,29.234,30.920
2023-03-08,29.232,30.896
2023-03-09,29.202,30.920
2023-03-10,29.142,30.984
2023-03-11,29.084,30.990
2023-03-12,29.004,31.004
2023-03-13,28.930,30.988
2023-03-14,28.836,30.996
2023-03-15,28.778,30.988
2023-03-16,28.750,30.982
2023-03-17,28.734,31.004
2023-03-18,28.722,30.988
2023-03-19,28.746,30.990
2023-03-20,28.794,30.968
2023-03-21,28.788,30.920
2023-03-22,28.770,30.932
2023-03-23,28.774,30.926
2023-03-24,28.810,30.878
2023-03-25,28.782,30.894
2023-03-26,28.802,30.922
2023-03-27,28.810,30.900
2023-03-28,28.782,30.882
2023-03-29,28.688,30.842
2023-03-30,28.642,30.786
2023-03-31,28.584,30.766
2023-04-01,NaN,30.774
