Giorno,2022,2023
01-01,417.54,419.06
01-02,417.51,419.13
01-03,417.35,279.42
01-04,417.29,314.33
01-05,417.38,335.33
01-06,417.36,349.27
01-07,417.26,359.26
01-08,417.20,359.26
01-09,417.21,359.24
01-10,417.30,419.09
01-11,417.38,419.07
01-12,417.42,359.17
01-13,417.63,359.37
01-14,417.94,359.41
01-15,418.15,359.42
01-16,418.15,359.41
01-17,418.11,359.41
01-18,418.03,359.43
01-19,417.91,419.28
01-20,417.73,419.07
01-21,417.55,418.99
01-22,417.34,418.99
01-23,417.57,419.12
01-24,417.89,419.18
01-25,418.33,419.24
01-26,418.77,419.37
01-27,418.85,419.51
01-28,418.92,419.63
01-29,419.35,419.77
01-30,419.32,419.69
01-31,419.24,419.66
02-01,419.08,419.64
02-02,418.93,419.59
02-03,419.07,419.57
02-04,419.19,419.63
02-05,418.96,419.63
02-06,418.89,419.62
02-07,418.79,359.73
02-08,358.92,299.83
02-09,358.82,299.90
02-10,358.63,299.95
02-11,358.47,300.08
02-12,358.32,300.17
02-13,358.71,300.40
02-14,358.95,360.54
02-15,418.90,420.68
02-16,359.12,420.65
02-17,359.28,420.58
02-18,359.40,420.47
02-19,359.55,360.37
02-20,359.16,300.25
02-21,358.94,240.11
02-22,358.96,239.86
02-23,418.98,179.89
02-24,419.25,119.93
02-25,419.39,119.91
02-26,419.46,180.09
02-27,419.58,180.09
02-28,419.66,240.43
03-01,419.55,180.55
03-02,419.35,240.69
03-03,419.07,300.84
03-04,418.93,300.97
03-05,418.86,300.98
03-06,418.70,300.98
03-07,418.51,240.64
03-08,418.35,300.69
03-09,418.28,300.76
03-10,418.37,300.76
03-11,418.46,300.52
03-12,418.50,300.28
03-13,418.52,360.23
03-14,418.57,420.19
03-15,418.56,420.14
03-16,358.80,419.79
03-17,358.75,359.63
03-18,358.52,359.79
03-19,358.39,359.89
03-20,358.30,299.94
03-21,358.25,239.98
03-22,358.24,179.98
03-23,417.94,120.12
03-24,417.78,180.20
03-25,417.82,180.23
03-26,418.05,120.19
03-27,418.42,180.32
03-28,418.70,240.50
